,antecedent,consequent,support,CONFIDENCE,LIFT
35,VIVO Dual LCD Monitor Desk mount,SanDisk Ultra 64GB card,0.005332622317024397,0.3225806451612903,3.283144395325426
36,Screen Mom Screen Cleaner kit,SanDisk Ultra 64GB card,0.0035995200639914677,0.3913043478260869,3.9825968969382335
37,USB 2.0 Printer cable,SanDisk Ultra 64GB card,0.003199573390214638,0.46153846153846156,4.697421981004071
38,SanDisk 128GB Ultra microSDXC card,SanDisk Ultra 64GB card,0.006399146780429276,0.3934426229508197,4.004359721511667
39,SanDisk Ultra 64GB card,VIVO Dual LCD Monitor Desk mount,0.0030662578322890282,0.6764705882352942,3.8853031258445188
40,iPhone SE case,SanDisk Ultra 64GB card,0.003332888948140248,0.33783783783783783,3.4384282518610876
41,Anker USB C to HDMI Adapter,Screen Mom Screen Cleaner kit,0.0030662578322890282,0.44230769230769235,3.4133230452674903
42,FEIYOLD Blue light Blocking Glasses,Screen Mom Screen Cleaner kit,0.0035995200639914677,0.4029850746268656,3.1098673300165833
43,HP 61 ink,Screen Mom Screen Cleaner kit,0.003999466737768298,0.3947368421052632,3.0462150747238472
44,Nylon Braided Lightning to USB cable,Screen Mom Screen Cleaner kit,0.003999466737768298,0.5,3.858539094650206
45,SanDisk Ultra 64GB card,Screen Mom Screen Cleaner kit,0.003999466737768298,0.4109589041095891,3.1714019956029094
46,Anker 2-in-1 USB Card Reader,FEIYOLD Blue light Blocking Glasses,0.0038661511798426876,0.4027777777777778,6.128267973856209
47,Anker 2-in-1 USB Card Reader,Screen Mom Screen Cleaner kit,0.003999466737768298,0.4545454545454546,3.5077628133183696
48,Anker USB C to HDMI Adapter,0,0.004399413411545127,0.6111111111111112,3.5099115194827295
49,Anker USB C to HDMI Adapter,Nylon Braided Lightning to USB cable,0.003999466737768298,0.35714285714285715,3.7467532467532467
50,Syntech USB C to USB Adapter,Nylon Braided Lightning to USB cable,0.0030662578322890282,0.36507936507936506,3.8300144300144296
51,Anker USB C to HDMI Adapter,Nylon Braided Lightning to USB cable,0.006665777896280496,0.3184713375796179,3.341053850607991
52,SanDisk 128GB Ultra microSDXC card,SanDisk Ultra 64GB card,0.0041327822956939075,0.3297872340425532,3.3564912381997174
53,VicTsing Wireless mouse,0,0.0037328356219170776,0.5283018867924528,3.0342974370828397
54,SanDisk Ultra 64GB card,0,0.0030662578322890282,0.5750000000000001,3.3025076569678413
55,Dust-Off Compressed Gas 2 pack,Nylon Braided Lightning to USB cable,0.007199040127982935,0.30508474576271183,3.200616332819722
56,Dust-Off Compressed Gas 2 pack,SanDisk Ultra 64GB card,0.006665777896280496,0.39062500000000006,3.975682666214383
57,FEIYOLD Blue light Blocking Glasses,Screen Mom Screen Cleaner kit,0.0035995200639914677,0.5,3.858539094650206
58,FEIYOLD Blue light Blocking Glasses,Screen Mom Screen Cleaner kit,0.003199573390214638,0.3934426229508197,3.0362274843149164
59,Nylon Braided Lightning to USB cable,Screen Mom Screen Cleaner kit,0.004799360085321957,0.4235294117647058,3.2684095860566447
60,SanDisk Ultra 64GB card,Screen Mom Screen Cleaner kit,0.0038661511798426876,0.40845070422535207,3.152046020981858
61,HP 61 ink,SanDisk Ultra 64GB card,0.003999466737768298,0.4411764705882354,4.4901827759597746
62,HP 65 ink,Screen Mom Screen Cleaner kit,0.003332888948140248,0.41666666666666663,3.215449245541838
63,SanDisk Ultra 64GB card,0,0.005999200106652446,0.5232558139534884,3.005315360233627
64,Nylon Braided Lightning to USB cable,SanDisk Ultra 64GB card,0.008665511265164644,0.31100478468899523,3.165328208890303
65,SanDisk Ultra 64GB card,0,0.004799360085321957,0.5714285714285714,3.2819951870487856
66,VIVO Dual LCD Monitor Desk mount,SanDisk Ultra 64GB card,0.005332622317024397,0.3225806451612903,3.283144395325426
67,Screen Mom Screen Cleaner kit,SanDisk Ultra 64GB card,0.0035995200639914677,0.3913043478260869,3.9825968969382335
68,USB 2.0 Printer cable,SanDisk Ultra 64GB card,0.003199573390214638,0.46153846153846156,4.697421981004071
69,SanDisk 128GB Ultra microSDXC card,SanDisk Ultra 64GB card,0.006399146780429276,0.3934426229508197,4.004359721511667
70,SanDisk Ultra 64GB card,0,0.0030662578322890282,0.6764705882352942,3.8853031258445188
71,iPhone SE case,SanDisk Ultra 64GB card,0.003332888948140248,0.33783783783783783,3.4384282518610876
72,Nylon Braided Lightning to USB cable,Dust-Off Compressed Gas 2 pack,0.0030662578322890282,0.3833333333333333,7.987175925925926
73,Dust-Off Compressed Gas 2 pack,VIVO Dual LCD Monitor Desk mount,0.0030662578322890282,0.5227272727272727,3.0022796881525826
74,Dust-Off Compressed Gas 2 pack,VIVO Dual LCD Monitor Desk mount,0.0030662578322890282,0.5609756097560976,3.221958689724723
75,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.0037328356219170776,0.411764705882353,3.177620430888405
76,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.003332888948140248,0.5102040816326531,3.937284790459394
77,Dust-Off Compressed Gas 2 pack,Nylon Braided Lightning to USB cable,0.003199573390214638,0.4210526315789474,4.417224880382776
78,Dust-Off Compressed Gas 2 pack,SanDisk Ultra 64GB card,0.003332888948140248,0.34246575342465757,3.4855300087358976
79,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.003999466737768298,0.4109589041095891,3.1714019956029094
80,Dust-Off Compressed Gas 2 pack,Nylon Braided Lightning to USB cable,0.003332888948140248,0.39062500000000006,4.098011363636364
81,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.0037328356219170776,0.40579710144927533,3.1315679608755294
82,Dust-Off Compressed Gas 2 pack,SanDisk Ultra 64GB card,0.004399413411545127,0.3666666666666667,3.7318407960199007
83,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.003199573390214638,0.4705882352941177,3.631566206729606
84,Nylon Braided Lightning to USB cable,VIVO Dual LCD Monitor Desk mount,0.0030662578322890282,0.5348837209302326,3.0721001460165964
85,Nylon Braided Lightning to USB cable,Screen Mom Screen Cleaner kit,0.0034662045060658577,0.44067796610169485,3.4007463207086555
86,Screen Mom Screen Cleaner kit,VIVO Dual LCD Monitor Desk mount,0.0030662578322890282,0.5348837209302326,3.0721001460165964
87,Nylon Braided Lightning to USB cable,Dust-Off Compressed Gas 2 pack,0.0030662578322890282,0.3833333333333333,7.987175925925926
88,Dust-Off Compressed Gas 2 pack,0,0.0030662578322890282,0.5227272727272727,3.0022796881525826
89,Dust-Off Compressed Gas 2 pack,0,0.0030662578322890282,0.5609756097560976,3.221958689724723
90,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.0037328356219170776,0.411764705882353,3.177620430888405
91,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.003332888948140248,0.5102040816326531,3.937284790459394
92,Dust-Off Compressed Gas 2 pack,Nylon Braided Lightning to USB cable,0.003199573390214638,0.4210526315789474,4.417224880382776
93,Dust-Off Compressed Gas 2 pack,SanDisk Ultra 64GB card,0.003332888948140248,0.34246575342465757,3.4855300087358976
94,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.003999466737768298,0.4109589041095891,3.1714019956029094
95,Dust-Off Compressed Gas 2 pack,Nylon Braided Lightning to USB cable,0.003332888948140248,0.39062500000000006,4.098011363636364
96,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.0037328356219170776,0.40579710144927533,3.1315679608755294
97,Dust-Off Compressed Gas 2 pack,SanDisk Ultra 64GB card,0.004399413411545127,0.3666666666666667,3.7318407960199007
98,Dust-Off Compressed Gas 2 pack,Screen Mom Screen Cleaner kit,0.003199573390214638,0.4705882352941177,3.631566206729606
99,Nylon Braided Lightning to USB cable,0,0.0030662578322890282,0.5348837209302326,3.0721001460165964
100,Nylon Braided Lightning to USB cable,Screen Mom Screen Cleaner kit,0.0034662045060658577,0.44067796610169485,3.4007463207086555
101,Screen Mom Screen Cleaner kit,0,0.0030662578322890282,0.5348837209302326,3.0721001460165964
